,startX,startY,endX,endY
72,120.591,31.3019,121.4,31.238
73,120.591,31.3019,121.478,31.2036
74,120.591,31.3019,121.467,31.3008
75,120.591,31.3019,121.412,31.1654
76,120.591,31.3019,121.536,31.2659
77,120.591,31.3019,121.425,31.2261
78,120.591,31.3019,121.703,31.1907
79,120.591,31.3019,121.533,31.2284
80,120.591,31.3019,121.577,31.2071
81,120.591,31.3019,120.561,31.2472
82,120.591,31.3019,120.628,31.2864
83,120.591,31.3019,120.591,31.3019
84,120.596,31.3264,121.4,31.238
85,120.596,31.3264,121.478,31.2036
86,120.596,31.3264,121.467,31.3008
87,120.596,31.3264,121.412,31.1654
88,120.596,31.3264,121.536,31.2659
89,120.596,31.3264,121.425,31.2261
90,120.596,31.3264,121.703,31.1907
91,120.596,31.3264,121.533,31.2284
92,120.596,31.3264,121.577,31.2071
93,120.596,31.3264,120.561,31.2472
94,120.596,31.3264,120.628,31.2864
95,120.596,31.3264,120.591,31.3019
96,120.596,31.3264,120.596,31.3264
97,120.613,31.2703,121.4,31.238
98,120.613,31.2703,121.478,31.2036
99,120.613,31.2703,121.467,31.3008
100,120.613,31.2703,121.412,31.1654
101,120.613,31.2703,121.536,31.2659
102,120.613,31.2703,121.425,31.2261
103,120.613,31.2703,121.703,31.1907
104,120.613,31.2703,121.533,31.2284
105,120.613,31.2703,121.577,31.2071
106,120.613,31.2703,120.561,31.2472
107,120.613,31.2703,120.628,31.2864
108,120.613,31.2703,120.591,31.3019
109,120.613,31.2703,120.596,31.3264
110,120.613,31.2703,120.613,31.2703
111,120.543,31.2994,121.4,31.238
112,120.543,31.2994,121.478,31.2036
113,120.543,31.2994,121.467,31.3008
114,120.543,31.2994,121.412,31.1654
115,120.543,31.2994,121.536,31.2659
116,120.543,31.2994,121.425,31.2261
117,120.543,31.2994,121.703,31.1907
118,120.543,31.2994,121.533,31.2284
119,120.543,31.2994,121.577,31.2071
120,120.543,31.2994,120.561,31.2472
121,120.543,31.2994,120.628,31.2864
122,120.543,31.2994,120.591,31.3019
123,120.543,31.2994,120.596,31.3264
124,120.543,31.2994,120.613,31.2703
125,120.543,31.2994,120.543,31.2994
126,120.669,31.3097,121.4,31.238
127,120.669,31.3097,121.478,31.2036
128,120.669,31.3097,121.467,31.3008
129,120.669,31.3097,121.412,31.1654
130,120.669,31.3097,121.536,31.2659
131,120.669,31.3097,121.425,31.2261
132,120.669,31.3097,121.703,31.1907
133,120.669,31.3097,121.533,31.2284
134,120.669,31.3097,121.577,31.2071
135,120.669,31.3097,120.561,31.2472
136,120.669,31.3097,120.628,31.2864
137,120.669,31.3097,120.591,31.3019
138,120.669,31.3097,120.596,31.3264
139,120.669,31.3097,120.613,31.2703
140,120.669,31.3097,120.543,31.2994
141,120.669,31.3097,120.669,31.3097
142,120.641,31.3708,121.4,31.238
143,120.641,31.3708,121.478,31.2036
144,120.641,31.3708,121.467,31.3008
145,120.641,31.3708,121.412,31.1654
146,120.641,31.3708,121.536,31.2659
147,120.641,31.3708,121.425,31.2261
148,120.641,31.3708,121.703,31.1907
149,120.641,31.3708,121.533,31.2284
150,120.641,31.3708,121.577,31.2071
151,120.641,31.3708,120.561,31.2472
152,120.641,31.3708,120.628,31.2864
153,120.641,31.3708,120.591,31.3019
154,120.641,31.3708,120.596,31.3264
155,120.641,31.3708,120.613,31.2703
156,120.641,31.3708,120.543,31.2994
157,120.641,31.3708,120.669,31.3097
158,120.641,31.3708,120.641,31.3708
159,120.913,31.96,121.4,31.238
160,120.913,31.96,121.478,31.2036
161,120.913,31.96,121.467,31.3008
162,120.913,31.96,121.412,31.1654
163,120.913,31.96,121.536,31.2659
164,120.913,31.96,121.425,31.2261
165,120.913,31.96,121.703,31.1907
166,120.913,31.96,121.533,31.2284
167,120.913,31.96,121.577,31.2071
168,120.913,31.96,120.561,31.2472
169,120.913,31.96,120.628,31.2864
170,120.913,31.96,120.591,31.3019
171,120.913,31.96,120.596,31.3264
172,120.913,31.96,120.613,31.2703
173,120.913,31.96,120.543,31.2994
174,120.913,31.96,120.669,31.3097
175,120.913,31.96,120.641,31.3708
176,120.913,31.96,120.913,31.96
177,120.94,31.93,121.4,31.238
178,120.94,31.93,121.478,31.2036
179,120.94,31.93,121.467,31.3008
180,120.94,31.93,121.412,31.1654
181,120.94,31.93,121.536,31.2659
182,120.94,31.93,121.425,31.2261
183,120.94,31.93,121.703,31.1907
184,120.94,31.93,121.533,31.2284
185,120.94,31.93,121.577,31.2071
186,120.94,31.93,120.561,31.2472
187,120.94,31.93,120.628,31.2864
188,120.94,31.93,120.591,31.3019
189,120.94,31.93,120.596,31.3264
190,120.94,31.93,120.613,31.2703
191,120.94,31.93,120.543,31.2994
192,120.94,31.93,120.669,31.3097
193,120.94,31.93,120.641,31.3708
194,120.94,31.93,120.913,31.96
195,120.94,31.93,120.94,31.93
196,119.176,34.5885,119.176,34.5885
197,117.167,34.2761,117.167,34.2761
198,117.192,34.2417,117.167,34.2761
199,117.192,34.2417,117.192,34.2417
200,117.256,34.2153,117.167,34.2761
201,117.256,34.2153,117.192,34.2417
202,117.256,34.2153,117.256,34.2153
203,117.244,34.2911,117.167,34.2761
204,117.244,34.2911,117.192,34.2417
205,117.244,34.2911,117.256,34.2153
206,117.244,34.2911,117.244,34.2911
